"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1456341_a_at",0.872089011830363,7.8143575775212,2.24596481843155,0.0356018222852334,0.0393908871097558,-4.70870264050124
"1452203_at",0.672154414033939,8.68671704821656,2.24124048319427,0.0359522969912431,0.0397571837138584,-4.71757840107691
"1448842_at",1.89931340390622,6.24422827219728,2.237780500229,0.0362109732973743,0.0400216261808001,-4.72407154596492
"1437347_at",2.14315938807501,6.68273513591248,2.23582899338639,0.0363576214865353,0.0401620327963453,-4.72773111866997
"1417903_at",0.786640542320058,5.70422887071825,2.22811670013369,0.0369424942736298,0.0407861068853875,-4.74217449459262
"1451194_at",1.93934986231264,6.98995183823288,2.22542352937757,0.0371487498496522,0.04099172397203,-4.7472109772221
"1433942_at",-0.619641169715814,7.08397960791054,-2.22234575661936,0.0373857465134021,0.0412310225414365,-4.75296211566423
"1419093_at",3.06741028354402,4.96096656624527,2.2210669680426,0.0374846216669105,0.0413178176393072,-4.75535022448769
"1457779_at",0.759819858608266,6.24108551499081,2.21599705053121,0.0378789765864241,0.0417300398327039,-4.76480984145132
"1453304_s_at",1.24629702485742,10.3200182109772,2.21573350201533,0.0378995793349846,0.0417302895043272,-4.76530121414593
"1419196_at",2.86465237587005,5.55883626214868,2.19547400728547,0.0395142624265975,0.0434847981997161,-4.80296554758465
"1450081_x_at",0.395300965489046,10.1026681155555,2.1861061256099,0.0402818458232422,0.0443057036766918,-4.82030848592208
"1425546_a_at",1.89474456168212,9.508039619169,2.18329944981473,0.0405144439052414,0.0445376173472541,-4.82549550952496
"1428010_at",-0.523628832464798,4.15336000849301,-2.1735674134231,0.0413304524726181,0.0454102825450225,-4.8434489174468
"1460227_at",1.24071895954547,5.3306760301221,2.17204431101686,0.0414595032485475,0.0455276475351342,-4.84625413387331
"1422603_at",1.16394310709396,8.22941719020087,2.17009216692193,0.0416254410948237,0.0456853715767412,-4.84984773900987
"1437752_at",0.691914216428229,4.50992238164343,2.16949313142077,0.0416764815691354,0.0457168903340061,-4.85095006546604
"1416666_at",0.480227444930591,6.73256500498624,2.16428906674851,0.0421222864893543,0.0461811791917546,-4.86051834274202
"1433908_a_at",0.760487466886008,7.76054299069019,2.15964330392291,0.0425239143345124,0.0465965631659076,-4.86904784745934
"1430570_at",-0.44308555214362,5.98745734006561,-2.15818510468505,0.0426506902663761,0.046710488591197,-4.87172267280336
"1453312_at",0.512916123437876,8.66178522961601,2.14754371803954,0.0435862730090225,0.0476989823235305,-4.89120781538071
"1436759_x_at",-0.836964291959195,6.38417640569128,-2.14739080956798,0.0435998510301021,0.0476989823235305,-4.89148735556259
"1423475_at",0.531503502004367,6.94719831511577,2.145310948626,0.0437849199868094,0.0478758762055449,-4.89528840227728
"1425814_a_at",0.854594419535488,8.70696407950388,2.13775288394119,0.0444634494861006,0.0485918594170405,-4.90908134909595
"1428083_at",0.620291314058489,10.0891943466339,2.13740037965856,0.0444953267081913,0.0486007621858005,-4.90972388627784
"1418507_s_at",-1.01024245490378,5.9401177222694,-2.13393268024417,0.0448100169236074,0.0489183980061556,-4.91604112057606
"1435176_a_at",0.484823745925411,10.0987959022647,2.10793330951461,0.0472342398616507,0.0515374124862337,-4.96319490818416
"1416239_at",0.84548876943814,7.99838735149146,2.10127490240158,0.0478738151495915,0.0522074405891179,-4.97521083982467
"1451079_at",0.685382258785258,6.64733809852923,2.09269385056961,0.048709573987676,0.0530905841015223,-4.99065998810145
"1423635_at",0.850514834349099,7.0278371211049,2.08038218322157,0.0499316210294738,0.0543935956746608,-5.01275359796358
"1424354_at",0.662647045096614,10.0627927952479,2.07162002304888,0.0508180609837504,0.0553298186574805,-5.02842549217134
"1438561_x_at",0.569049822080811,5.57342451127122,2.070530494099,0.0509292675002043,0.0554214345592022,-5.03037117284547
"1428821_at",0.512400347431695,7.69678235663596,2.05380289674273,0.0526642636358316,0.0572790291695078,-5.06015853125459
"1429434_at",-0.457800876499811,6.25877354272898,-2.04610917018962,0.0534799040306269,0.0581352672264989,-5.07380527792463
"1417071_s_at",0.759879533325631,6.70708084078888,2.03985979789112,0.054150728393814,0.0588332582230933,-5.08486504358861
"1424618_at",1.3040426963055,5.57311380120406,2.03509952899874,0.0546667493641938,0.0593624086415,-5.09327435752421
"1430079_at",0.576923094668548,5.94166941253113,2.02435619060061,0.0558475352530565,0.0606124812921355,-5.1122048688389
"1420650_at",0.604830191948371,4.2551739016651,2.02341167301598,0.0559524275297088,0.0606941586762943,-5.11386596532954
"1436555_at",1.68528548936661,5.85768856900894,2.00593371056483,0.0579254146358599,0.062794344595818,-5.14450983880206
"1435084_at",-0.881835852246134,7.92101723509665,-2.00572051624066,0.0579498590264141,0.062794344595818,-5.14488252304163
